Department,Commune,Arrondissement
Alibori,Banikoara,Banikoara
Alibori,Banikoara,Founougo
Alibori,Banikoara,Gomparou
Alibori,Banikoara,Goumori
Alibori,Banikoara,Kokey
Alibori,Banikoara,Kokiborou
Alibori,Banikoara,Ounet
Alibori,Banikoara,Sompérékou
Alibori,Banikoara,Soroko
Alibori,Banikoara,Toura
Alibori,Gogounou,Bagou
Alibori,Gogounou,Gogounou
Alibori,Gogounou,Gounarou
Alibori,Gogounou,Ouara
Alibori,Gogounou,Sori
Alibori,Gogounou,Zoungou-Pantrossi
Alibori,Kandi,Angaradébou
Alibori,Kandi,Bensékou
Alibori,Kandi,Donwari
Alibori,Kandi,Kandi I
Alibori,Kandi,Kandi II
Alibori,Kandi,Kandi III
Alibori,Kandi,Kassakou
Alibori,Kandi,Saah
Alibori,Kandi,Sam
Alibori,Kandi,Sonsoro
Alibori,Karimama,Birni-Lafia
Alibori,Karimama,Bogo-Bogo
Alibori,Karimama,Karimama
Alibori,Karimama,Kompa
Alibori,Karimama,Monsey
Alibori,Malanville,Garou
Alibori,Malanville,Guénè
Alibori,Malanville,Malanville
Alibori,Malanville,Mandécali
Alibori,Malanville,Tomboutou
Alibori,Ségbana,Libantè
Alibori,Ségbana,Liboussou
Alibori,Ségbana,Lougou
Alibori,Ségbana,Ségbana
Alibori,Ségbana,Sokotindji
Atakora,Boukoumbé,Boukoumbé
Atakora,Boukoumbé,Dipoli
Atakora,Boukoumbé,Korontière
Atakora,Boukoumbé,Kossoucoingou
Atakora,Boukoumbé,Manta
Atakora,Boukoumbé,Natta
Atakora,Boukoumbé,Tabota
Atakora,Cobly,Cobly
Atakora,Cobly,Datori
Atakora,Cobly,Kountori
Atakora,Cobly,Tapoga
Atakora,Kérou,Brignamaro
Atakora,Kérou,Firou
Atakora,Kérou,Kérou
Atakora,Kérou,Koabagou
Atakora,Kouandé,Birni
Atakora,Kouandé,Chabi-Couma
Atakora,Kouandé,Fô-Tancé
Atakora,Kouandé,Guilmaro
Atakora,Kouandé,Kouandé
Atakora,Kouandé,Oroukayo
Atakora,Matéri,Dassari
Atakora,Matéri,Gouandé
Atakora,Matéri,Matéri
Atakora,Matéri,Nodi
Atakora,Matéri,Tantéga
Atakora,Matéri,Tchianhoun-Cossi
Atakora,Natitingou,Kotapounga
Atakora,Natitingou,Kouaba
Atakora,Natitingou,Koundata
Atakora,Natitingou,Natitingou I
Atakora,Natitingou,Natitingou II
Atakora,Natitingou,Natitingou III
Atakora,Natitingou,Natitingou IV
Atakora,Natitingou,Perma
Atakora,Natitingou,Tchoumi-Tchoumi
Atakora,Péhunco,Gnémasson
Atakora,Péhunco,Péhunco
Atakora,Péhunco,Tobré
Atakora,Tanguiéta,Cotiakou
Atakora,Tanguiéta,N'Dahonta
Atakora,Tanguiéta,Taiakou
Atakora,Tanguiéta,Tanguiéta
Atakora,Tanguiéta,Tanongou
Atakora,Toucountouna,Kouarfa
Atakora,Toucountouna,Tampégré
Atakora,Toucountouna,Toucountouna
Atlantique,Abomey-Calavi,Abomey-Calavi
Atlantique,Abomey-Calavi,Akassato
Atlantique,Abomey-Calavi,Godomey
Atlantique,Abomey-Calavi,Glo-Djigbé
Atlantique,Abomey-Calavi,Hévié
Atlantique,Abomey-Calavi,Kpanroun
Atlantique,Abomey-Calavi,Ouédo
Atlantique,Abomey-Calavi,Togba
Atlantique,Abomey-Calavi,Zinvié
Atlantique,Allada,Agbanou
Atlantique,Allada,Ahouannonzoun
Atlantique,Allada,Allada
Atlantique,Allada,Attogon
Atlantique,Allada,Avakpa
Atlantique,Allada,Ayou
Atlantique,Allada,Hinvi
Atlantique,Allada,Lissègazoun
Atlantique,Allada,Lon-Agonmey
Atlantique,Allada,Sékou
Atlantique,Allada,Togoudo
Atlantique,Allada,Tokpa-Avagoudo
Atlantique,Kpomassè,Aganmalomè
Atlantique,Kpomassè,Agbanto
Atlantique,Kpomassè,Agonkanmè
Atlantique,Kpomassè,Dedomè
Atlantique,Kpomassè,Dekanmè
Atlantique,Kpomassè,Kpomassè
Atlantique,Kpomassè,Ségbeya
Atlantique,Kpomassè,Ségbohoué
Atlantique,Kpomassè,Tokpa-Domè
Atlantique,Ouidah,Avlékété
Atlantique,Ouidah,Djégbadji
Atlantique,Ouidah,Gakpè
Atlantique,Ouidah,Ouakpé-Daho
Atlantique,Ouidah,Ouidah I
Atlantique,Ouidah,Ouidah II
Atlantique,Ouidah,Ouidah III
Atlantique,Ouidah,Ouidah IV
Atlantique,Ouidah,Pahou
Atlantique,Ouidah,Savi
Atlantique,Sô-Ava,Ahomey-Lokpo
Atlantique,Sô-Ava,Dékanmey
Atlantique,Sô-Ava,Ganvié I
Atlantique,Sô-Ava,Ganvié II
Atlantique,Sô-Ava,Houédo-Aguékon
Atlantique,Sô-Ava,Sô-Ava
Atlantique,Sô-Ava,Vekky
Atlantique,Toffo,Agué
Atlantique,Toffo,Colli-Agbamè
Atlantique,Toffo,Coussi
Atlantique,Toffo,Damè
Atlantique,Toffo,Djanglanmè
Atlantique,Toffo,Houégbo
Atlantique,Toffo,Kpomé
Atlantique,Toffo,Sè
Atlantique,Toffo,Séhouè
Atlantique,Toffo,Toffo-Agué
Atlantique,Tori-Bossito,Avamè
Atlantique,Tori-Bossito,Azohouè-Aliho
Atlantique,Tori-Bossito,Azohouè-Cada
Atlantique,Tori-Bossito,Tori-Bossito
Atlantique,Tori-Bossito,Tori-Cada
Atlantique,Tori-Bossito,Tori-Gare
Atlantique,Zè,Adjan
Atlantique,Zè,Dawé
Atlantique,Zè,Djigbé
Atlantique,Zè,Dodji-Bata
Atlantique,Zè,Hékanmè
Atlantique,Zè,Koundokpoè
Atlantique,Zè,Sèdjè-Dénou
Atlantique,Zè,Sèdjè-Houégoudo
Atlantique,Zè,Tangbo-Djevié
Atlantique,Zè,Yokpo
Atlantique,Zè,Zè
Borgou,Bembèrèkè,Bembèrèkè
Borgou,Bembèrèkè,Béroubouay
Borgou,Bembèrèkè,Bouanri
Borgou,Bembèrèkè,Gomia
Borgou,Bembèrèkè,Ina
Borgou,Kalalè,Basso
Borgou,Kalalè,Bouka
Borgou,Kalalè,Dèrassi
Borgou,Kalalè,Dunkassa
Borgou,Kalalè,Kalalè
Borgou,Kalalè,Péonga
Borgou,N'Dali,Bori
Borgou,N'Dali,Gbégourou
Borgou,N'Dali,N'Dali
Borgou,N'Dali,Ouénou
Borgou,N'Dali,Sirarou
Borgou,Nikki,Biro
Borgou,Nikki,Gnonkourakali
Borgou,Nikki,Nikki
Borgou,Nikki,Ouénou
Borgou,Nikki,Sérékalé
Borgou,Nikki,Suya
Borgou,Nikki,Tasso
Borgou,Parakou,1st arrondissement
Borgou,Parakou,2nd arrondissement
Borgou,Parakou,3rd arrondissement
Borgou,Pèrèrè,Gninsy
Borgou,Pèrèrè,Guinagourou
Borgou,Pèrèrè,Kpané
Borgou,Pèrèrè,Pébié
Borgou,Pèrèrè,Pèrèrè
Borgou,Pèrèrè,Sontou
Borgou,Sinendé,Fô-Bourè
Borgou,Sinendé,Sèkèrè
Borgou,Sinendé,Sikki
Borgou,Sinendé,Sinendé
Borgou,Tchaourou,Alafiarou
Borgou,Tchaourou,Bétérou
Borgou,Tchaourou,Goro
Borgou,Tchaourou,Kika
Borgou,Tchaourou,Sanson
Borgou,Tchaourou,Tchaourou
Borgou,Tchaourou,Tchatchou
Collines,Bantè,Agoua
Collines,Bantè,Akpassi
Collines,Bantè,Atokoligbé
Collines,Bantè,Bantè
Collines,Bantè,Bobè
Collines,Bantè,Gouka
Collines,Bantè,Koko
Collines,Bantè,Lougba
Collines,Bantè,Pira
Collines,Dassa-Zoumè,Akofodjoulè
Collines,Dassa-Zoumè,Dassa I
Collines,Dassa-Zoumè,Dassa II
Collines,Dassa-Zoumè,Gbaffo
Collines,Dassa-Zoumè,Kèrè
Collines,Dassa-Zoumè,Kpingni
Collines,Dassa-Zoumè,Lèma
Collines,Dassa-Zoumè,Paouingnan
Collines,Dassa-Zoumè,Soclogbo
Collines,Dassa-Zoumè,Tré
Collines,Glazoué,Aklankpa
Collines,Glazoué,Assanté
Collines,Glazoué,Glazoué
Collines,Glazoué,Gomè
Collines,Glazoué,Kpakpaza
Collines,Glazoué,Magoumi
Collines,Glazoué,Ouèdèmè
Collines,Glazoué,Sokponta
Collines,Glazoué,Thio
Collines,Glazoué,Zaffé
Collines,Ouèssè,Challa-Ogoi
Collines,Ouèssè,Djègbè
Collines,Ouèssè,Gbanlin
Collines,Ouèssè,Kèmon
Collines,Ouèssè,Kilibo
Collines,Ouèssè,Laminou
Collines,Ouèssè,Odougba
Collines,Ouèssè,Ouèssè
Collines,Ouèssè,Toui
Collines,Savalou,Djaloukou
Collines,Savalou,Doumè
Collines,Savalou,Gobada
Collines,Savalou,Kpataba
Collines,Savalou,Lahotan
Collines,Savalou,Lèma
Collines,Savalou,Logozohoué
Collines,Savalou,Monkpa
Collines,Savalou,Ottola
Collines,Savalou,Ouèssè
Collines,Savalou,Savalou-Aga
Collines,Savalou,Savalou-Agbado
Collines,Savalou,Savalou-Attakè
Collines,Savalou,Tchetti
Collines,Savé,Adido
Collines,Savé,Bèssè
Collines,Savé,Boni
Collines,Savé,Kaboua
Collines,Savé,Ofè
Collines,Savé,Okpara
Collines,Savé,Plateau
Collines,Savé,Sakin
Donga,Bassila,Alédjo
Donga,Bassila,Bassila
Donga,Bassila,Manigri
Donga,Bassila,Pénéssoulou
Donga,Copargo,Anandana
Donga,Copargo,Copargo
Donga,Copargo,Pabégou
Donga,Copargo,Singré
Donga,Djougou,Barei
Donga,Djougou,Bariénou
Donga,Djougou,Bélléfoungou
Donga,Djougou,Bougou
Donga,Djougou,Djougou I
Donga,Djougou,Djougou II
Donga,Djougou,Djougou III
Donga,Djougou,Kolokondé
Donga,Djougou,Onklou
Donga,Djougou,Patargo
Donga,Djougou,Pélébina
Donga,Djougou,Sérou
Donga,Ouaké,Badjoudè
Donga,Ouaké,Kondé
Donga,Ouaké,Ouaké
Donga,Ouaké,Sèmèrè I
Donga,Ouaké,Sèmèrè II
Donga,Ouaké,Tchalinga
Kouffo,Aplahoué,Aplahoué
Kouffo,Aplahoué,Atomè
Kouffo,Aplahoué,Azovè
Kouffo,Aplahoué,Dekpo
Kouffo,Aplahoué,Godohou
Kouffo,Aplahoué,Kissamey
Kouffo,Aplahoué,Lonkly
Kouffo,Djakotomey,Adjintimey
Kouffo,Djakotomey,Bètoumey
Kouffo,Djakotomey,Djakotomey I
Kouffo,Djakotomey,Djakotomey II
Kouffo,Djakotomey,Gohomey
Kouffo,Djakotomey,Houègamey
Kouffo,Djakotomey,Kinkinhoué
Kouffo,Djakotomey,Kokohoué
Kouffo,Djakotomey,Kpoba
Kouffo,Djakotomey,Sokouhoué
Kouffo,Dogbo,Ayomi
Kouffo,Dogbo,Dèvè
Kouffo,Dogbo,Honton
Kouffo,Dogbo,Lokogohoué
Kouffo,Dogbo,Madjrè
Kouffo,Dogbo,Tota
Kouffo,Dogbo,Totchagni
Kouffo,Klouékanmè,Adjanhonmè
Kouffo,Klouékanmè,Ahogbèya
Kouffo,Klouékanmè,Aya-Hohoué
Kouffo,Klouékanmè,Djotto
Kouffo,Klouékanmè,Hondji
Kouffo,Klouékanmè,Klouékanmè
Kouffo,Klouékanmè,Lanta
Kouffo,Klouékanmè,Tchikpé
Kouffo,Lalo,Adoukandji
Kouffo,Lalo,Ahondjinnako
Kouffo,Lalo,Ahomadégbé
Kouffo,Lalo,Banigbé
Kouffo,Lalo,Gnizounmè
